No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,Konsumsi_Protein
841,6171,Kota Pontianak,Kalimantan Barat,2022,61.1
842,6172,Kota Singkawang,Kalimantan Barat,2022,62.7
843,6201,Kabupaten Kotawaringin Barat,Kalimantan Tengah,2022,69.7
844,6202,Kabupaten Kotawaringin Timur,Kalimantan Tengah,2022,62.8
845,6203,Kabupaten Kapuas,Kalimantan Tengah,2022,67.2
846,6204,Kabupaten Barito Selatan,Kalimantan Tengah,2022,66.7
847,6205,Kabupaten Barito Utara,Kalimantan Tengah,2022,54.6
848,6208,Kabupaten Sukamara,Kalimantan Tengah,2022,75.1
849,6209,Kabupaten Lamandau,Kalimantan Tengah,2022,71.3
850,6207,Kabupaten Seruyan,Kalimantan Tengah,2022,63.7
851,6206,Kabupaten Katingan,Kalimantan Tengah,2022,67.5
852,6211,Kabupaten Pulang Pisau,Kalimantan Tengah,2022,62.7
853,6210,Kabupaten Gunung Mas,Kalimantan Tengah,2022,58.3
854,6213,Kabupaten Barito Timur,Kalimantan Tengah,2022,67.7
855,6212,Kabupaten Murung Raya,Kalimantan Tengah,2022,66.5
856,6271,Kota Palangka Raya,Kalimantan Tengah,2022,54.9
857,6301,Kabupaten Tanah Laut,Kalimantan Selatan,2022,70.8
858,6302,Kabupaten Kota Baru,Kalimantan Selatan,2022,69.7
859,6303,Kabupaten Banjar,Kalimantan Selatan,2022,68
860,6304,Kabupaten Barito Kuala,Kalimantan Selatan,2022,63.3
861,6305,Kabupaten Tapin,Kalimantan Selatan,2022,67.4
862,6306,Hulu Sungai Selatan,Kalimantan Selatan,2022,71.4
863,6307,Hulu Sungai Tengah,Kalimantan Selatan,2022,62.4
864,6308,Hulu Sungai Utara,Kalimantan Selatan,2022,66.4
865,6309,Kabupaten Tabalong,Kalimantan Selatan,2022,75.8
866,6310,Kabupaten Tanah Bumbu,Kalimantan Selatan,2022,66.6
867,6311,Kabupaten Balangan,Kalimantan Selatan,2022,70.7
868,6371,Kota Banjarmasin,Kalimantan Selatan,2022,66.7
869,6372,Kota Banjar Baru,Kalimantan Selatan,2022,69.1
870,6401,Kabupaten Paser,Kalimantan Timur,2022,64.5
871,6407,Kabupaten Kutai Barat,Kalimantan Timur,2022,59
872,6402,Kabupaten Kutai Kertanegara,Kalimantan Timur,2022,60.6
873,6408,Kabupaten Kutai Timur,Kalimantan Timur,2022,62.1
874,6403,Kabupaten Berau,Kalimantan Timur,2022,68.4
875,6409,Kabupaten Penajam Paser Utara,Kalimantan Timur,2022,57.6
876,6411,Kabupaten Mahakam Ulu,Kalimantan Timur,2022,56.2
877,6471,Kota Balikpapan,Kalimantan Timur,2022,63
878,6472,Kota Samarinda,Kalimantan Timur,2022,65
879,6474,Kota Bontang,Kalimantan Timur,2022,65.7
880,6502,Kabupaten Malinau,Kalimantan Utara,2022,58.7
881,6501,Kabupaten Bulungan,Kalimantan Utara,2022,58.3
882,6504,Kabupaten Tana Tidung,Kalimantan Utara,2022,57.8
883,6503,Kabupaten Nunukan,Kalimantan Utara,2022,61.7
884,6571,Kota Tarakan,Kalimantan Utara,2022,59.5
885,7101,Kabupaten Bolaang Mongondow,Sulawesi Utara,2022,64.6
886,7102,Kabupaten Minahasa,Sulawesi Utara,2022,71.6
887,7103,Kabupaten Kepulauan Sangihe,Sulawesi Utara,2022,57.1
888,7104,Kabupaten Kepulauan Talaud,Sulawesi Utara,2022,59.4
889,7105,Kabupaten Minahasa Selatan,Sulawesi Utara,2022,69.6
890,7106,Kabupaten Minahasa Utara,Sulawesi Utara,2022,72.9
891,7108,Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,2022,62.4
892,7109,Kabupaten Kep. Siau Tagulandang Biaro,Sulawesi Utara,2022,49.5
893,7107,Kabupaten Minahasa Tenggara,Sulawesi Utara,2022,68.1
894,7111,Kabupaten Bolaang Mongondow Selatan,Sulawesi Utara,2022,61.5
895,7110,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,2022,70.1
896,7171,Kota Manado,Sulawesi Utara,2022,73.4
897,7172,Kota Bitung,Sulawesi Utara,2022,67.9
898,7173,Kota Tomohon,Sulawesi Utara,2022,76.3
899,7174,Kota Kotamobago,Sulawesi Utara,2022,63.8
900,7207,Kabupaten Banggai Kepulauan,Sulawesi Tengah,2022,53.6
901,7201,Kabupaten Banggai,Sulawesi Tengah,2022,58.8
902,7206,Kabupaten Morowali,Sulawesi Tengah,2022,61.1
903,7202,Kabupaten Poso,Sulawesi Tengah,2022,59.7
904,7203,Kabupaten Donggala,Sulawesi Tengah,2022,61.5
905,7204,Kabupaten Toli-Toli,Sulawesi Tengah,2022,53.9
906,7205,Kabupaten Buol,Sulawesi Tengah,2022,45.1
907,7208,Kabupaten Parigi Moutong,Sulawesi Tengah,2022,58.5
908,7209,Kabupaten Tojo Una-Una,Sulawesi Tengah,2022,51.6
909,7210,Kabupaten Sigi,Sulawesi Tengah,2022,60.2
910,7211,Kabupaten Banggai Laut,Sulawesi Tengah,2022,66
911,7212,Kabupaten Morowali Utara,Sulawesi Tengah,2022,66.2
912,7271,Kota Palu,Sulawesi Tengah,2022,58.8
913,7301,Kabupaten Selayar,Sulawesi Selatan,2022,62.1
914,7302,Kabupaten Bulukumba,Sulawesi Selatan,2022,70.2
915,7303,Kabupaten Bantaeng,Sulawesi Selatan,2022,63
916,7304,Kabupaten Jeneponto,Sulawesi Selatan,2022,67.9
917,7305,Kabupaten Takalar,Sulawesi Selatan,2022,56.5
918,7306,Kabupaten Gowa,Sulawesi Selatan,2022,59.9
919,7307,Kabupaten Sinjai,Sulawesi Selatan,2022,62.5
920,7309,Kabupaten Maros,Sulawesi Selatan,2022,59.3
921,7310,Kabupaten Pangkajene dan Kepulauan,Sulawesi Selatan,2022,85.8
922,7311,Kabupaten Barru,Sulawesi Selatan,2022,61.5
923,7308,Kabupaten Bone,Sulawesi Selatan,2022,56.5
924,7312,Kabupaten Soppeng,Sulawesi Selatan,2022,60.3
925,7313,Kabupaten Wajo,Sulawesi Selatan,2022,57
926,7314,Kabupaten Sidenreng Rappang,Sulawesi Selatan,2022,61.8
927,7315,Kabupaten Pinrang,Sulawesi Selatan,2022,52.1
928,7316,Kabupaten Enrekang,Sulawesi Selatan,2022,55.9
929,7317,Kabupaten Luwu,Sulawesi Selatan,2022,60.7
930,7318,Kabupaten Tana Toraja,Sulawesi Selatan,2022,55.5
931,7322,Kabupaten Luwu Utara,Sulawesi Selatan,2022,62.3
932,7324,Kabupaten Luwu Timur,Sulawesi Selatan,2022,68.8
933,7326,Kabupaten Toraja Utara,Sulawesi Selatan,2022,56
934,7371,Kota Makasar,Sulawesi Selatan,2022,77.5
935,7372,Kota Pare-Pare,Sulawesi Selatan,2022,59
936,7373,Kota Palopo,Sulawesi Selatan,2022,56
937,7404,Kabupaten Buton,Sulawesi Tenggara,2022,63.4
938,7403,Kabupaten Muna,Sulawesi Tenggara,2022,58.6
939,7402,Kabupaten Konawe,Sulawesi Tenggara,2022,59.7
940,7401,Kabupaten Kolaka,Sulawesi Tenggara,2022,51.5
941,7405,Kabupaten Konawe Selatan,Sulawesi Tenggara,2022,56.3
942,7406,Kabupaten Bombana,Sulawesi Tenggara,2022,60.7
943,7407,Kabupaten Wakatobi,Sulawesi Tenggara,2022,65.4
944,7408,Kabupaten Kolaka Utara,Sulawesi Tenggara,2022,64
945,7410,Kabupaten Buton Utara,Sulawesi Tenggara,2022,60
946,7409,Kabupaten Konawe Utara,Sulawesi Tenggara,2022,63.1
947,7411,Kabupaten Kolaka Timur,Sulawesi Tenggara,2022,62.1
948,7412,Kabupaten Konawe Kepulauan,Sulawesi Tenggara,2022,47.6
949,7413,Kabupaten Muna Barat,Sulawesi Tenggara,2022,55.9
950,7414,Kabupaten Buton Tengah,Sulawesi Tenggara,2022,57.2
951,7415,Kabupaten Buton Selatan,Sulawesi Tenggara,2022,55.8
952,7471,Kota Kendari,Sulawesi Tenggara,2022,66.7
953,7472,Kota Bau-Bau,Sulawesi Tenggara,2022,55.1
954,7502,Kabupaten Boalemo,Gorontalo,2022,60.9
955,7501,Kabupaten Gorontalo,Gorontalo,2022,57.7
956,7504,Kabupaten Pohuwato,Gorontalo,2022,54.3
957,7503,Kabupaten Bone Bolango,Gorontalo,2022,54.8
958,7505,Kabupaten Gorontalo Utara,Gorontalo,2022,58.3
959,7571,Kota Gorontalo,Gorontalo,2022,56.2
960,7605,Kabupaten Majene,Sulawesi Barat,2022,56.9
961,7604,Kabupaten Polewali Mandar,Sulawesi Barat,2022,67.6
962,7603,Kabupaten Mamasa,Sulawesi Barat,2022,59.7
963,7602,Kabupaten Mamuju,Sulawesi Barat,2022,57.9
964,7601,Kabupaten Mamuju Utara,Sulawesi Barat,2022,60.1
965,7606,Kabupaten Mamuju Tengah,Sulawesi Barat,2022,58.6
966,8103,Kabupaten Kepulauan Tanimbar,Maluku,2022,43.8
967,8102,Kabupaten Maluku Tenggara,Maluku,2022,53.5
968,8101,Kabupaten Maluku Tengah,Maluku,2022,58.3
969,8104,Kabupaten Buru,Maluku,2022,48.1
970,8107,Kabupaten Kepulauan Aru,Maluku,2022,44
971,8106,Kabupaten Seram Bagian Barat,Maluku,2022,49.2
972,8105,Kabupaten Seram Bagian Timur,Maluku,2022,56.7
973,8108,Kabupaten Maluku Barat Daya,Maluku,2022,53.9
974,8109,Kabupaten Buru Selatan,Maluku,2022,45.7
975,8171,Kota Ambon,Maluku,2022,55.6
976,8172,Kota Tual,Maluku,2022,50.5
977,8201,Kabupaten Halmahera Barat,Maluku Utara,2022,54.4
978,8202,Kabupaten Halmahera Tengah,Maluku Utara,2022,48.5
979,8205,Kabupaten Kepulauan Sula,Maluku Utara,2022,49.4
980,8204,Kabupaten Halmahera Selatan,Maluku Utara,2022,59.2
981,8203,Kabupaten Halmahera Utara,Maluku Utara,2022,53.1
982,8206,Kabupaten Halmahera Timur,Maluku Utara,2022,52
983,8207,Kabupaten Pulau Morotai,Maluku Utara,2022,56.6
984,8208,Kabupaten Pulau Taliabu,Maluku Utara,2022,56.8
985,8271,Kota Ternate,Maluku Utara,2022,57.7
986,8272,Kota Tidore Kepulauan,Maluku Utara,2022,50.3
987,9203,Kabupaten Fak-Fak,Papua Barat,2022,67.6
988,9208,Kabupaten Kaimana,Papua Barat,2022,56.1
989,9207,Kabupaten Teluk Wondama,Papua Barat,2022,47
990,9206,Kabupaten Teluk Bintuni,Papua Barat,2022,55.3
991,9202,Kabupaten Manokwari,Papua Barat,2022,58.2
992,9204,Kabupaten Sorong Selatan,Papua Barat,2022,35.5
993,9201,Kabupaten Sorong,Papua Barat,2022,57.9
994,9205,Kabupaten Raja Ampat,Papua Barat,2022,57.5
995,9209,Kabupaten Tambrauw,Papua Barat,2022,44.3
996,9210,Kabupaten Maybrat,Papua Barat,2022,49.1
997,9211,Kabupaten Manokwari Selatan,Papua Barat,2022,57.9
998,9212,Kabupaten Pegunungan Arfak,Papua Barat,2022,39.3
999,9271,Kota Sorong,Papua Barat,2022,56.4
1000,9101,Kabupaten Merauke,Papua,2022,65.7
1001,9102,Kabupaten Jayawijaya,Papua,2022,42
1002,9103,Kabupaten Jayapura,Papua,2022,51.4
1003,9104,Kabupaten Nabire,Papua,2022,54.4
1004,9105,Kabupaten Kepulauan Yapen,Papua,2022,47
1005,9106,Kabupaten Biak Namfor,Papua,2022,43.4
1006,9108,Kabupaten Paniai,Papua,2022,39.9
1007,9107,Kabupaten Puncak Jaya,Papua,2022,45.5
1008,9109,Kabupaten Mimika,Papua,2022,55.5
1009,9116,Kabupaten Boven Digoel,Papua,2022,41.4
1010,9117,Kabupaten Mappi,Papua,2022,33.6
1011,9118,Kabupaten Asmat,Papua,2022,43.5
1012,9113,Kabupaten Yahukimo,Papua,2022,33.6
1013,9112,Kabupaten Pegunungan Bintang,Papua,2022,43.5
1014,9114,Kabupaten Tolikara,Papua,2022,36
1015,9110,Kabupaten Sarmi,Papua,2022,48.1
1016,9111,Kabupaten Keerom,Papua,2022,41.4
1017,9115,Kabupaten Waropen,Papua,2022,42.1
1018,9119,Kabupaten Supiori,Papua,2022,77.1
1019,9120,Kabupaten Mamberamo Raya,Papua,2022,52.5
1020,9124,Kabupaten Nduga,Papua,2022,39.4
1021,9123,Kabupaten Lanny Jaya,Papua,2022,45.8
1022,9121,Kabupaten Mamberamo Tengah,Papua,2022,29.8
1023,9122,Kabupaten Yalimo,Papua,2022,41.7
1024,9125,Kabupaten Puncak,Papua,2022,22
1025,9126,Kabupaten Dogiyai,Papua,2022,28.1
1026,9127,Kabupaten Intan Jaya,Papua,2022,31.8
1027,9128,Kabupaten Deiyai,Papua,2022,38.6
1028,9171,Kota Jayapura,Papua,2022,54.2
1029,1109,Kabupaten Simeulue,Aceh,2023,57.3
1030,1110,Kabupaten Aceh Singkil,Aceh,2023,61.8
1031,1101,Kabupaten Aceh Selatan,Aceh,2023,53.9
1032,1102,Kabupaten Aceh Tenggara,Aceh,2023,64.5
1033,1103,Kabupaten Aceh Timur,Aceh,2023,59.8
1034,1104,Kabupaten Aceh Tengah,Aceh,2023,60.4
1035,1105,Kabupaten Aceh Barat,Aceh,2023,62.5
1036,1106,Kabupaten Aceh Besar,Aceh,2023,55.9
1037,1107,Kabupaten Pidie,Aceh,2023,57
1038,1111,Kabupaten Bireuen,Aceh,2023,61.6
1039,1108,Kabupaten Aceh Utara,Aceh,2023,56.7
1040,1112,Kabupaten Aceh Barat Daya,Aceh,2023,60.2
1041,1113,Kabupaten Gayo Lues,Aceh,2023,69.9
1042,1116,Kabupaten Aceh Tamiang,Aceh,2023,57.4
1043,1115,Kabupaten Nagan Raya,Aceh,2023,100.8
1044,1114,Kabupaten Aceh Jaya,Aceh,2023,66.1
1045,1117,Kabupaten Bener Meriah,Aceh,2023,69.3
1046,1118,Kabupaten Pidie Jaya,Aceh,2023,61.1
1047,1171,Kota Banda Aceh,Aceh,2023,62.7
1048,1172,Kota Sabang,Aceh,2023,64.8
1049,1174,Kota Langsa,Aceh,2023,62
1050,1173,Kota Lhokseumawe,Aceh,2023,58.7
1051,1175,Kota Subulussalam,Aceh,2023,59.9
1052,1204,Kabupaten Nias,Sumatera Utara,2023,57.4
1053,1213,Kabupaten Mandailing Natal,Sumatera Utara,2023,64.6
1054,1203,Kabupaten Tapanuli Selatan,Sumatera Utara,2023,62.1
1055,1201,Kabupaten Tapanuli Tengah,Sumatera Utara,2023,56.9
1056,1202,Kabupaten Tapanuli Utara,Sumatera Utara,2023,69.9
1057,1212,Kabupaten Toba Samosir,Sumatera Utara,2023,73
1058,1210,Kabupaten Labuhan Batu,Sumatera Utara,2023,59.7
1059,1209,Kabupaten Asahan,Sumatera Utara,2023,60.9
1060,1208,Kabupaten Simalungun,Sumatera Utara,2023,68.9
1061,1211,Kabupaten Dairi,Sumatera Utara,2023,62.7
1062,1206,Kabupaten Karo,Sumatera Utara,2023,70.6
1063,1207,Kabupaten Deli Serdang,Sumatera Utara,2023,60.6
1064,1205,Kabupaten Langkat,Sumatera Utara,2023,58.6
1065,1214,Kabupaten Nias Selatan,Sumatera Utara,2023,55.9
1066,1216,Kabupaten Humbang Hasundutan,Sumatera Utara,2023,69.1
1067,1215,Kabupaten Pakpak Bharat,Sumatera Utara,2023,67.1
1068,1217,Kabupaten Samosir,Sumatera Utara,2023,71
1069,1218,Kabupaten Serdang Bedagai,Sumatera Utara,2023,62.4
1070,1219,Kabupaten Batu Bara,Sumatera Utara,2023,56
1071,1220,Kabupaten Padang Lawas Utara,Sumatera Utara,2023,64.8
1072,1221,Kabupaten Padang Lawas,Sumatera Utara,2023,60.2
1073,1222,Kabupaten Labuhan Batu Selatan,Sumatera Utara,2023,60.7
1074,1223,Kabupaten Labuhan Batu Utara,Sumatera Utara,2023,60.2
1075,1224,Kabupaten Nias Utara,Sumatera Utara,2023,59.1
1076,1225,Kabupaten Nias Barat,Sumatera Utara,2023,55.4
1077,1273,Kota Sibolga,Sumatera Utara,2023,61.4
1078,1274,Kota Tanjung Balai,Sumatera Utara,2023,67.5
1079,1272,Kota Pematang Siantar,Sumatera Utara,2023,69.8
1080,1276,Kota Tebing Tinggi,Sumatera Utara,2023,72.7
1081,1271,Kota Medan,Sumatera Utara,2023,66.3
1082,1275,Kota Binjai,Sumatera Utara,2023,59.2
1083,1277,Kota Padang Sidimpuan,Sumatera Utara,2023,65.1
1084,1278,Kota Gunungsitoli,Sumatera Utara,2023,51.4
1085,1309,Kabupaten Kepulauan Mentawai,Sumatera Barat,2023,53.5
1086,1301,Kabupaten Pesisir Selatan,Sumatera Barat,2023,57.5
1087,1302,Kabupaten Solok,Sumatera Barat,2023,63
1088,1303,Kabupaten Sijunjung,Sumatera Barat,2023,57.7
1089,1304,Kabupaten Tanah Datar,Sumatera Barat,2023,57.1
1090,1305,Kabupaten Padang Pariaman,Sumatera Barat,2023,54.4
1091,1306,Kabupaten Agam,Sumatera Barat,2023,59.7
1092,1307,Kabupaten Limapuluh Koto,Sumatera Barat,2023,61.5
1093,1308,Kabupaten Pasaman,Sumatera Barat,2023,61.4
1094,1311,Kabupaten Solok Selatan,Sumatera Barat,2023,62.9
1095,1310,Kabupaten Dharmas Raya,Sumatera Barat,2023,55.2
1096,1312,Kabupaten Pasaman Barat,Sumatera Barat,2023,56.6
1097,1371,Kota Padang,Sumatera Barat,2023,58.9
1098,1372,Kota Solok,Sumatera Barat,2023,62
1099,1373,Kota Sawah Lunto,Sumatera Barat,2023,58.6
1100,1374,Kota Padang Panjang,Sumatera Barat,2023,57.2
1101,1375,Kota Bukittinggi,Sumatera Barat,2023,58.3
1102,1376,Kota Payakumbuh,Sumatera Barat,2023,64
1103,1377,Kota Pariaman,Sumatera Barat,2023,56
1104,1409,Kabupaten Kuantan Sengingi,Riau,2023,57.6
1105,1402,Kabupaten Indragiri Hulu,Riau,2023,59.1
1106,1404,Kabupaten Indragiri Hilir,Riau,2023,56.3
1107,1405,Kabupaten Pelalawan,Riau,2023,62.5
1108,1408,Kabupaten Siak,Riau,2023,64.5
1109,1401,Kabupaten Kampar,Riau,2023,58.6
1110,1406,Kabupaten Rokan Hulu,Riau,2023,61.3
1111,1403,Kabupaten Bengkalis,Riau,2023,62.8
1112,1407,Kabupaten Rokan Hilir,Riau,2023,56.2
1113,1410,Kabupaten Kepulauan Meranti,Riau,2023,60.1
1114,1471,Kota Pekanbaru,Riau,2023,60.5
1115,1472,Kota Dumai,Riau,2023,62.3
1116,1501,Kabupaten Kerinci,Jambi,2023,65.4
1117,1502,Kabupaten Merangin,Jambi,2023,52.1
1118,1503,Kabupaten Sarolangun,Jambi,2023,56.2
1119,1504,Kabupaten Batang Hari,Jambi,2023,62.5
1120,1505,Kabupaten Muaro Jambi,Jambi,2023,62.2
1121,1507,Kabupaten Tanjung Jabung Timur,Jambi,2023,69.3
1122,1506,Kabupaten Tanjung Jabung Barat,Jambi,2023,56.5
1123,1509,Kabupaten Tebo,Jambi,2023,53.8
1124,1508,Kabupaten Bungo,Jambi,2023,62.1
1125,1571,Kota Jambi,Jambi,2023,60.6
1126,1572,Kota Sungai Penuh,Jambi,2023,58.2
1127,1601,Kabupaten Ogan Komering Ulu,Sumatera Selatan,2023,57.3
1128,1602,Kabupaten Ogan Komering Ilir,Sumatera Selatan,2023,64.9
1129,1603,Kabupaten Muara Enim,Sumatera Selatan,2023,59
1130,1604,Kabupaten Lahat,Sumatera Selatan,2023,72.8
1131,1605,Kabupaten Musi Rawas,Sumatera Selatan,2023,65.6
1132,1606,Kabupaten Musi Banyuasin,Sumatera Selatan,2023,62.9
1133,1607,Kabupaten Banyuasin,Sumatera Selatan,2023,72.1
1134,1609,Kabupaten Ogan Komering Ulu Selatan,Sumatera Selatan,2023,59.8
1135,1608,Kabupaten Ogan Komering Ulu Timur,Sumatera Selatan,2023,60.7
1136,1610,Kabupaten Ogan Ilir,Sumatera Selatan,2023,59.7
1137,1611,Kabupaten Empat Lawang,Sumatera Selatan,2023,66.3
1138,1612,Kabupaten Penukal Abab Lematang Ilir,Sumatera Selatan,2023,59.5
1139,1613,Kabupaten Musi Rawas Utara,Sumatera Selatan,2023,64.4
1140,1671,Kota Palembang,Sumatera Selatan,2023,69.5
1141,1674,Kota Prabumulih,Sumatera Selatan,2023,59
1142,1672,Kota Pagar Alam,Sumatera Selatan,2023,62.5
1143,1673,Kota Lubuklinggau,Sumatera Selatan,2023,70.4
1144,1701,Kabupaten Bengkulu Selatan,Bengkulu,2023,86.1
1145,1702,Kabupaten Rejang Lebong,Bengkulu,2023,61.8
1146,1703,Kabupaten Bengkulu Utara,Bengkulu,2023,58.7
1147,1704,Kabupaten Kaur,Bengkulu,2023,61
1148,1705,Kabupaten Seluma,Bengkulu,2023,58.4
1149,1706,Kabupaten Mukomuko,Bengkulu,2023,58.5
1150,1707,Kabupaten Lebong,Bengkulu,2023,63.7
1151,1708,Kabupaten Kepahiang,Bengkulu,2023,59.8
1152,1709,Kabupaten Bengkulu Tengah,Bengkulu,2023,62.5
1153,1771,Kota Bengkulu,Bengkulu,2023,59
1154,1804,Kabupaten Lampung Barat,Lampung,2023,63.8
1155,1806,Kabupaten Tanggamus,Lampung,2023,63.6
1156,1801,Kabupaten Lampung Selatan,Lampung,2023,60.3
1157,1807,Kabupaten Lampung Timur,Lampung,2023,58.5
1158,1802,Kabupaten Lampung Tengah,Lampung,2023,56.7
1159,1803,Kabupaten Lampung Utara,Lampung,2023,55
1160,1808,Kabupaten Way Kanan,Lampung,2023,62
1161,1805,Kabupaten Tulang Bawang,Lampung,2023,56
1162,1809,Kabupaten Pesawaran,Lampung,2023,63.6
1163,1810,Kabupaten Pringsewu,Lampung,2023,58.9
1164,1811,Kabupaten Mesuji,Lampung,2023,58.8
1165,1812,Kabupaten Tulang Bawang Barat,Lampung,2023,52.2
1166,1813,Kabupaten Pesisir Barat,Lampung,2023,56.7
1167,1871,Kota Bandar Lampung,Lampung,2023,61.3
1168,1872,Kota Metro,Lampung,2023,55
1169,1901,Kabupaten Bangka,Kep. Bangka Belitung,2023,68.8
1170,1902,Kabupaten Belitung,Kep. Bangka Belitung,2023,65.6
1171,1905,Kabupaten Bangka Barat,Kep. Bangka Belitung,2023,62.3
1172,1904,Kabupaten Bangka Tengah,Kep. Bangka Belitung,2023,65.5
1173,1903,Kabupaten Bangka Selatan,Kep. Bangka Belitung,2023,65.1
1174,1906,Kabupaten Belitung Timur,Kep. Bangka Belitung,2023,67.6
1175,1971,Kota Pangkal Pinang,Kep. Bangka Belitung,2023,68.8
1176,2102,Kabupaten Karimun,Kep. Riau,2023,62.9
1177,2101,Kabupaten Bintan,Kep. Riau,2023,63.5
1178,2103,Kabupaten Natuna,Kep. Riau,2023,66.8
1179,2104,Kabupaten Lingga,Kep. Riau,2023,58.2
1180,2105,Kabupaten Kepulauan Anambas,Kep. Riau,2023,58
1181,2171,Kota Batam,Kep. Riau,2023,67.5
1182,2172,Kota Tanjung Pinang,Kep. Riau,2023,70
1183,3101,Kabupaten Kepulauan Seribu,DKI Jakarta,2023,61.7
1184,3174,Kota Jakarta Selatan,DKI Jakarta,2023,70.2
1185,3175,Kota Jakarta Timur,DKI Jakarta,2023,70.4
1186,3171,Kota Jakarta Pusat,DKI Jakarta,2023,69.1
1187,3173,Kota Jakarta Barat,DKI Jakarta,2023,66.6
1188,3172,Kota Jakarta Utara,DKI Jakarta,2023,78.3
1189,3201,Kabupaten Bogor,Jawa Barat,2023,93.4
1190,3202,Kabupaten Sukabumi,Jawa Barat,2023,70
1191,3203,Kabupaten Cianjur,Jawa Barat,2023,64.1
1192,3204,Kabupaten Bandung,Jawa Barat,2023,55.7
1193,3205,Kabupaten Garut,Jawa Barat,2023,59.8
1194,3206,Kabupaten Tasikmalaya,Jawa Barat,2023,60.6
1195,3207,Kabupaten Ciamis,Jawa Barat,2023,67
1196,3208,Kabupaten Kuningan,Jawa Barat,2023,59.4
1197,3209,Kabupaten Cirebon,Jawa Barat,2023,62.5
1198,3210,Kabupaten Majalengka,Jawa Barat,2023,62.9
1199,3211,Kabupaten Sumedang,Jawa Barat,2023,65.1
1200,3212,Kabupaten Indramayu,Jawa Barat,2023,78
1201,3213,Kabupaten Subang,Jawa Barat,2023,66.9
1202,3214,Kabupaten Purwakarta,Jawa Barat,2023,66.5
1203,3215,Kabupaten Karawang,Jawa Barat,2023,67.9
1204,3216,Kabupaten Bekasi,Jawa Barat,2023,61.9
1205,3217,Kabupaten Bandung Barat,Jawa Barat,2023,59.8
1206,3218,Kabupaten Pangandaran,Jawa Barat,2023,68.5
1207,3271,Kota Bogor,Jawa Barat,2023,63.4
1208,3272,Kota Sukabumi,Jawa Barat,2023,63.2
1209,3273,Kota Bandung,Jawa Barat,2023,62.7
1210,3274,Kota Cirebon,Jawa Barat,2023,62.3
1211,3275,Kota Bekasi,Jawa Barat,2023,97.9
1212,3276,Kota Depok,Jawa Barat,2023,63.5
1213,3277,Kota Cimahi,Jawa Barat,2023,60.6
1214,3278,Kota Tasikmalaya,Jawa Barat,2023,73.2
1215,3279,Kota Banjar,Jawa Barat,2023,72.9
1216,3301,Kabupaten Cilacap,Jawa Tengah,2023,57.4
1217,3302,Kabupaten Banyumas,Jawa Tengah,2023,58.4
1218,3303,Kabupaten  Purbalingga,Jawa Tengah,2023,54
1219,3304,Kabupaten Banjarnegara,Jawa Tengah,2023,61
1220,3305,Kabupaten Kebumen,Jawa Tengah,2023,57.9
1221,3306,Kabupaten Purworejo,Jawa Tengah,2023,55.7
1222,3307,Kabupaten Wonosobo,Jawa Tengah,2023,65.7
1223,3308,Kabupaten Magelang,Jawa Tengah,2023,55
1224,3309,Kabupaten Boyolali,Jawa Tengah,2023,53.6
1225,3310,Kabupaten Klaten,Jawa Tengah,2023,52.9
1226,3311,Kabupaten Sukoharjo,Jawa Tengah,2023,54.2
1227,3312,Kabupaten Wonogiri,Jawa Tengah,2023,58.9
1228,3313,Kabupaten Karanganyar,Jawa Tengah,2023,52.5
1229,3314,Kabupaten Sragen,Jawa Tengah,2023,60.7
1230,3315,Kabupaten Grobogan,Jawa Tengah,2023,60
1231,3316,Kabupaten Blora,Jawa Tengah,2023,61
1232,3317,Kabupaten Rembang,Jawa Tengah,2023,67.2
1233,3318,Kabupaten Pati,Jawa Tengah,2023,66.5
1234,3319,Kabupaten Kudus,Jawa Tengah,2023,60.4
1235,3320,Kabupaten Jepara,Jawa Tengah,2023,59.2
1236,3321,Kabupaten Demak,Jawa Tengah,2023,60.8
1237,3322,Kabupaten Semarang,Jawa Tengah,2023,56.7
1238,3323,Kabupaten Temanggung,Jawa Tengah,2023,53.8
1239,3324,Kabupaten Kendal,Jawa Tengah,2023,60.9
1240,3325,Kabupaten Batang ,Jawa Tengah,2023,66.3
1241,3326,Kabupaten Pekalongan,Jawa Tengah,2023,67.1
1242,3327,Kabupaten Pemalang,Jawa Tengah,2023,68.6
1243,3328,Kabupaten Tegal,Jawa Tengah,2023,59.5
1244,3329,Kabupaten Brebes,Jawa Tengah,2023,66.6
1245,3371,Kota Magelang,Jawa Tengah,2023,52.1
1246,3372,Kota Surakarta,Jawa Tengah,2023,57.9
1247,3373,Kota Salatiga,Jawa Tengah,2023,60.7
1248,3374,Kota Semarang,Jawa Tengah,2023,55.5
1249,3375,Kota Pekalongan,Jawa Tengah,2023,70
1250,3376,Kota Tegal,Jawa Tengah,2023,67.6
1251,3401,Kabupaten Kulon Progo,DI Yogyakarta,2023,54.5
1252,3402,Kabupaten Bantul,DI Yogyakarta,2023,62.6
1253,3403,Kabupaten Gunung Kidul,DI Yogyakarta,2023,59.7
1254,3404,Kabupaten Sleman,DI Yogyakarta,2023,69.6
1255,3471,Kota Yogyakarta,DI Yogyakarta,2023,66.2
